repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20180916B,,58474.1662416099,77,-2.6109773898497224e-07,,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662416652,77,5.530455382540822e-08,-7.257239107034881,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662417617,77,9.64937498793006e-08,-7.015500815991314,Catalog 1,FRB20181222A
FRB20180916B,,58474.166241871,77,1.0929943528026342e-07,-6.961382081923115,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662416099,77,-2.6109773898497224e-07,,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662416652,77,5.530455382540822e-08,-7.257239107034881,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662417617,77,9.64937498793006e-08,-7.015500815991314,Catalog 1,FRB20181222A
FRB20180916B,,58474.166241871,77,1.0929943528026342e-07,-6.961382081923115,Catalog 1,FRB20181222A
FRB20180916B,,58475.160751782,77,0.9945099110045703,-0.0023908844619717246,Catalog 1,FRB20181223A
FRB20180916B,,58475.16075189,77,1.0799703886732459e-07,-6.966588152116858,Catalog 1,FRB20181223A
FRB20180916B,,58475.160751782,77,-1.0799703886732459e-07,,Catalog 1,FRB20181223A
FRB20180916B,,58475.16075189,77,1.0799703886732459e-07,-6.966588152116858,Catalog 1,FRB20181223A
FRB20180916B,,58477.16185105,77,2.001099159999285,0.30126860966245395,Catalog 1,FRB20181225A
FRB20180916B,,58478.155209527,77,0.9933584770042216,-0.0028939977380503224,Catalog 1,FRB20181226A
FRB20180916B,,58478.15520957,77,4.300090949982405e-08,-7.366522358686049,Catalog 1,FRB20181226A
FRB20180916B,,58478.155209527,77,-4.300090949982405e-08,,Catalog 1,FRB20181226A
FRB20180916B,,58478.15520957,77,4.300090949982405e-08,-7.366522358686049,Catalog 1,FRB20181226A
FRB20180916B,,58509.06441346,77,30.909203889998025,1.4900878193423928,Catalog 1,FRB20190126A
FRB20180916B,,58621.759521586,77,112.69510812599765,2.051905064582085,Catalog 1,FRB20190518A
FRB20180916B,,58621.764652893,77,0.0051313069998286664,-2.289772001259053,Catalog 1,FRB20190518E
FRB20180916B,,58622.743352316,77,0.9786994230016717,-0.00935066772208145,Catalog 1,FRB20190519A
FRB20180916B,,58622.743352374,77,5.799665814265609e-08,-7.236597030437364,Catalog 1,FRB20190519A
FRB20180916B,,58622.743352316,77,-5.799665814265609e-08,,Catalog 1,FRB20190519A
FRB20180916B,,58622.743352374,77,5.799665814265609e-08,-7.236597030437364,Catalog 1,FRB20190519A
FRB20180916B,,58622.756267361,77,0.012914987004478462,-1.8889060264930746,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267454,77,9.300129022449255e-08,-7.031511026354767,Catalog 1,FRB20190519B
FRB20180916B,,58622.75626754,77,8.599454304203391e-08,-7.065529106918355,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267667,77,1.270018401555717e-07,-6.896189986417107,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267361,77,-3.0599767342209816e-07,,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267454,77,9.300129022449255e-08,-7.031511026354767,Catalog 1,FRB20190519B
FRB20180916B,,58622.75626754,77,8.599454304203391e-08,-7.065529106918355,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267667,77,1.270018401555717e-07,-6.896189986417107,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267361,77,-3.0599767342209816e-07,,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267454,77,9.300129022449255e-08,-7.031511026354767,Catalog 1,FRB20190519B
FRB20180916B,,58622.75626754,77,8.599454304203391e-08,-7.065529106918355,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267667,77,1.270018401555717e-07,-6.896189986417107,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267361,77,-3.0599767342209816e-07,,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267454,77,9.300129022449255e-08,-7.031511026354767,Catalog 1,FRB20190519B
FRB20180916B,,58622.75626754,77,8.599454304203391e-08,-7.065529106918355,Catalog 1,FRB20190519B
FRB20180916B,,58622.756267667,77,1.270018401555717e-07,-6.896189986417107,Catalog 1,FRB20190519B
FRB20180916B,,58622.757525392,77,0.0012577250017784536,-2.9004143058428546,Catalog 1,FRB20190519C
FRB20180916B,,58637.71485449,77,14.95732909799699,1.174854049306437,Catalog 1,FRB20190603A
FRB20180916B,,58638.716432882,77,1.001578392002557,0.0006849465220241401,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432934,77,5.2001269068568945e-08,-7.283986057466137,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432984,77,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432882,77,-1.0200164979323745e-07,,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432934,77,5.2001269068568945e-08,-7.283986057466137,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432984,77,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432882,77,-1.0200164979323745e-07,,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432934,77,5.2001269068568945e-08,-7.283986057466137,Catalog 1,FRB20190604F
FRB20180916B,,58638.716432984,77,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20190604F
FRB20180916B,,58639.705612569,77,0.9891795849980554,-0.004724855325482435,Catalog 1,FRB20190605A
FRB20180916B,,58639.710079485,77,0.004466915997909382,-2.349992214527814,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079604,77,1.1900556273758411e-07,-6.924432737685006,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079722,77,1.1799420462921262e-07,-6.928139322857961,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079485,77,-2.3699976736679673e-07,,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079604,77,1.1900556273758411e-07,-6.924432737685006,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079722,77,1.1799420462921262e-07,-6.928139322857961,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079485,77,-2.3699976736679673e-07,,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079604,77,1.1900556273758411e-07,-6.924432737685006,Catalog 1,FRB20190605B
FRB20180916B,,58639.710079722,77,1.1799420462921262e-07,-6.928139322857961,Catalog 1,FRB20190605B
FRB20181017A,,58408.97652582,2,,,Catalog 1,FRB20181017A
FRB20181017A,,58530.64372972,2,121.6672039000041,2.0851735274104466,Catalog 1,FRB20190216A
FRB20181030A,,58421.17584521,2,,,Catalog 1,FRB20181030A
FRB20181030A,,58421.17802826,2,0.0021830500045325607,-2.6609363163092574,Catalog 1,FRB20181030B
FRB20181119A,,58441.70073114,3,,,Catalog 1,FRB20181119A
FRB20181119A,,58486.57457555,3,44.873844410001766,1.6519932777909094,Catalog 1,FRB20190103A
FRB20181119A,,58555.39012454,3,68.81554898999457,1.8376865788981342,Catalog 1,FRB20190313A
FRB20181128A,,58450.352565036,6,,,Catalog 1,FRB20181128A
FRB20181128A,,58450.352565152,6,1.1600059224292636e-07,-6.935539793469821,Catalog 1,FRB20181128A
FRB20181128A,,58450.352565036,6,-1.1600059224292636e-07,,Catalog 1,FRB20181128A
FRB20181128A,,58450.352565152,6,1.1600059224292636e-07,-6.935539793469821,Catalog 1,FRB20181128A
FRB20181128A,,58471.29492684,6,20.94236168799398,1.3210256558637814,Catalog 1,FRB20181219A
FRB20181128A,,58630.86089978,6,159.56597293999948,2.2029402846341153,Catalog 1,FRB20190527B
FRB20190116B,,58499.54692066,2,,,Catalog 1,FRB20190116A
FRB20190116B,,58499.547458837,2,0.0005381769951782189,-3.2690748704531405,Catalog 1,FRB20190116B
FRB20190117A,,58500.9295383094,2,,,Catalog 1,FRB20190117A
FRB20190117A,,58664.482458865,2,163.5529205556013,2.2136583037031707,Catalog 1,FRB20190630A
FRB20190208A,,58522.737392093,17,,,Catalog 1,FRB20190208A
FRB20190208A,,58522.737392195,17,1.0200164979323745e-07,-6.991392803823328,Catalog 1,FRB20190208A
FRB20190208A,,58522.737392255,17,6.000482244417071e-08,-7.221813845004173,Catalog 1,FRB20190208A
FRB20190208A,,58522.73739232,17,6.499612936750054e-08,-7.187112505578499,Catalog 1,FRB20190208A
